palabra,emoji,categoria,España,México,Guatemala,El Salvador,Honduras,Nicaragua,Costa Rica,Panamá,Cuba,Rep. Dominicana,Puerto Rico,Colombia,Venezuela,Ecuador,Perú,Bolivia,Paraguay,Uruguay,Argentina,Chile,Guinea Ecuatorial
buenas,👋,"Verbos y expresiones cotidianas, muletillas y saludos",saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes',saludo informal abreviado de 'buenos dias/buenas tardes'
quiubo,👋😎,"Verbos y expresiones cotidianas, muletillas y saludos","saludo informal, '¿que hubo?', '¿que tal?'","'quiubole', saludo casual","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo muy comun entre jovenes, '¿que mas?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'","saludo informal, '¿que hubo?', '¿que tal?'"
qué onda,👋🤙,"Verbos y expresiones cotidianas, muletillas y saludos","saludo informal, '¿que tal?', '¿que pasa?'",saludo y muletilla muy usada,saludo y muletilla muy usada,saludo y muletilla muy usada,saludo y muletilla muy usada,"saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'","saludo informal, '¿que tal?', '¿que pasa?'"
qué más,🤙,"Verbos y expresiones cotidianas, muletillas y saludos",saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',"saludo super comun, '¿que mas pues?'",saludo casual,saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?',saludo informal equivalente a '¿que tal?'
qué hubo,👋,"Verbos y expresiones cotidianas, muletillas y saludos","'¿que ha pasado?', saludo informal","saludo comun, a menudo 'quiubo'","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","saludo comun, a menudo 'quiubo'","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal","'¿que ha pasado?', saludo informal"
qué fue,😎🤙,"Verbos y expresiones cotidianas, muletillas y saludos","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo muy comun entre jovenes, '¿que lo que?'",saludo informal,"saludo informal callejero, '¿que pasa?'",saludo informal,"saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'","saludo informal callejero, '¿que pasa?'"
qué lo que,🤙😎,"Verbos y expresiones cotidianas, muletillas y saludos","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo emblematico, abreviado 'klk'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'","saludo informal, '¿que es lo que hay?', '¿que pasa?'"
klk,📱🤙,"Verbos y expresiones cotidianas, muletillas y saludos","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","saludo escrito muy comun, '¿que pasa?'","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats","abreviatura de 'que lo que', saludo en chats"
qué pex,🤨😎,"Verbos y expresiones cotidianas, muletillas y saludos","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'",saludo y expresion muy usada,"saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'","saludo/muletilla informal, '¿que pasa?', '¿que pedo?'"
qué pedo,😳💨,"Verbos y expresiones cotidianas, muletillas y saludos","'¿que pasa?', '¿que onda?'; tambien problema o situacion",saludo y muletilla muy comun; 'tener pedo' = tener problema,"'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion","'¿que pasa?', '¿que onda?'; tambien problema o situacion"
qué tranza,🤙😎,"Verbos y expresiones cotidianas, muletillas y saludos","saludo informal, '¿que pasa?'",saludo callejero entre jovenes,"saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'","saludo informal, '¿que pasa?'"
epa,👋😄,"Verbos y expresiones cotidianas, muletillas y saludos","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'",saludo muy comun y para llamar la atencion,saludo muy comun y para llamar la atencion,"interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'",expresion de animo o brindis,expresion de animo o brindis,"interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'","interjeccion de saludo o de sorpresa, '¡hola!', '¡oye!'"
aló,📞,"Verbos y expresiones cotidianas, muletillas y saludos",saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,forma estandar de contestar el telefono,forma estandar de contestar el telefono,forma estandar de contestar el telefono,forma estandar de contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,forma estandar de contestar el telefono,saludo al contestar el telefono
bueno,📞,"Verbos y expresiones cotidianas, muletillas y saludos",saludo al contestar el telefono,'¿bueno?' es la forma de contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono,saludo al contestar el telefono
diga,📞,"Verbos y expresiones cotidianas, muletillas y saludos",'¿digame?' al contestar,"forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'","forma de contestar el telefono, '¿diga?'"
chau,👋,"Verbos y expresiones cotidianas, muletillas y saludos","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'","despedida informal, 'adios'",despedida estandar muy usada,despedida estandar muy usada,despedida estandar muy usada,despedida estandar muy usada,despedida estandar muy usada,despedida estandar muy usada,"despedida informal, 'adios'"
nos vemos,👋👀,"Verbos y expresiones cotidianas, muletillas y saludos","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'","despedida, 'hasta luego'"
nos pillamos,👀👋,"Verbos y expresiones cotidianas, muletillas y saludos",despedida muy usada entre jovenes,"despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'","despedida juvenil, 'nos vemos'",despedida muy usada entre jovenes,"despedida juvenil, 'nos vemos'"
cuídate,🤗,"Verbos y expresiones cotidianas, muletillas y saludos","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'","despedida afectuosa, 'que estes bien'"
pucha,😣,"Verbos y expresiones cotidianas, muletillas y saludos","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo",⚠️ vulva (vulgar),⚠️ vulva (vulgar),"interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo","interjeccion de fastidio o sorpresa, eufemismo",muletilla muy comun de lamento o sorpresa,⚠️ vulva (vulgar),"interjeccion de fastidio o sorpresa, eufemismo"
órale,😮👍,"Verbos y expresiones cotidianas, muletillas y saludos","interjeccion de asombro, aprobacion o apuro","muletilla muy versatil: sorpresa, acuerdo, 'apurate'","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro","interjeccion de asombro, aprobacion o apuro"
híjole,😬,"Verbos y expresiones cotidianas, muletillas y saludos","interjeccion de sorpresa, preocupacion o disculpa",muletilla muy comun ante un problema,"interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa","interjeccion de sorpresa, preocupacion o disculpa"
ándale,👍⚡,"Verbos y expresiones cotidianas, muletillas y saludos","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'",muletilla muy usada,"interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'","interjeccion para animar, apurar o expresar acuerdo, 'eso es', 'apurate'"
dale,👍✅,"Verbos y expresiones cotidianas, muletillas y saludos","animar o dar permiso, 'sigue'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","animar o dar permiso, 'sigue'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'","'ok', muletilla de asentimiento muy usada","'ok', muletilla de asentimiento muy usada","expresion de acuerdo o para animar, 'ok', 'hazlo'","expresion de acuerdo o para animar, 'ok', 'hazlo'"
sale,👍,"Verbos y expresiones cotidianas, muletillas y saludos","'de acuerdo', 'ok', 'va'","'sale y vale', asentimiento muy comun","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'","'de acuerdo', 'ok', 'va'"
va,👍,"Verbos y expresiones cotidianas, muletillas y saludos",asentimiento informal muy usado,asentimiento informal muy usado,"expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'","expresion de acuerdo, 'ok', 'esta bien'"
de una,⚡👍,"Verbos y expresiones cotidianas, muletillas y saludos","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'sin dudarlo', 'de inmediato'","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'inmediatamente', 'claro que si', con entusiasmo","'sin dudarlo', 'de inmediato'","'sin dudarlo', 'de inmediato'","'sin dudarlo', 'de inmediato'","'inmediatamente', 'claro que si', con entusiasmo"
obvio,💯,"Verbos y expresiones cotidianas, muletillas y saludos","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'","afirmacion enfatica, 'claro que si', 'por supuesto'"
de toda,💯,"Verbos y expresiones cotidianas, muletillas y saludos","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica","'de todas todas', sin duda alguna","'de todas todas', sin duda alguna","'por supuesto', afirmacion enfatica","'por supuesto', afirmacion enfatica"
